"slug","name","alternate_name","city","district","category","google_rating","google_reviews_count","price_level","work_friendly","group_friendly","late_night","family_friendly","indoor_seating","outdoor_seating","parking","specialty_coffee","desserts","official_instagram","phone","hours_summary","editorial_summary","confidence","status","last_verified_at","source_notes","sector","canonical_name_ar","canonical_name_en","short_address","branch_group","branch_label","reference_url","quietness","crowd_level","place_personality","best_visit_time","why_choose_it","not_for_whom","duplicate_of","archive_reason"
"dunkin-king-salman-buraidah","دانكن","Dunkin","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","فرع دانكن على محور الملك سلمان يُستخدم كسجل مرجعي داخل مجموعة فروع دانكن في بريدة، لكنه ما زال تحت branch_conflict لاختلاط الفروع المرشحة.","medium","branch_conflict","","Expansion Round 3 coordinate intake | Cleaning pass 2: retained as canonical branch_conflict anchor for identical/near-identical Dunkin pins","cafes","دانكن","Dunkin","طريق الملك سلمان","dunkin-buraidah","king-salman","https://www.google.com/maps/search/?api=1&query=26.3929502,43.9248075","unknown","unknown","","","","","",""
"bordga-buraidah","بوردقا","BORDGA","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","???? ???? ???? ????? ?? master? ????? ?????? ?? discovered.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","بوردقا","BORDGA","بريدة","bordga","main","https://www.google.com/maps/search/?api=1&query=26.3145371,44.0380191","unknown","unknown","","","","","",""
"fan-jan-cafe-buraidah","فنجان كافيه","Fan Jan Cafe","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","????? coverage ???? ????? ???? ????? ????? ???? ?????.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","فنجان كافيه","Fan Jan Cafe","بريدة","fan-jan-cafe","main","https://www.google.com/maps/search/?api=1&query=26.0975638,43.9847562","unknown","unknown","","","","","",""
"mazar-cafe-buraidah","مزار","Mazar","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","??? coverage ???? ????? ???? ???? ????.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","مزار","Mazar","طريق علي بن أبي طالب","mazar-cafe","main","https://www.google.com/maps/search/?api=1&query=26.0615842,43.9851684","unknown","unknown","","","","","",""
"kob-alqahwa-1","كوب القهوة","Cup of Coffee","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","????? ????/???? ?????? ????? ??? ??????? ???????.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","كوب القهوة","Cup of Coffee","بريدة","kob-alqahwa","branch-1","https://www.google.com/maps/search/?api=1&query=26.3180939,44.0372088","unknown","unknown","","","","","",""
"kob-alqahwa-2","كوب القهوة","Cup of Coffee","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","???? ????? ????/???? ????? ????? ???? ?????.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","كوب القهوة","Cup of Coffee","بريدة","kob-alqahwa","branch-2","https://www.google.com/maps/search/?api=1&query=26.3188473,44.0378809","unknown","unknown","","","","","",""
"maqha-alwan","مقهى ألوان","Maqha Alwan","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","???? ???? ???? ????? ????? pin ?????.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","مقهى ألوان","Maqha Alwan","بريدة","maqha-alwan","main","https://www.google.com/maps/search/?api=1&query=26.1658122,43.9549003","unknown","unknown","","","","","",""
"fan-jan-kaif-buraidah","فن. جن. كيف","Fan Jan Kaif","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","????? ????? ????? ??? ????? coverage ??? ?? ??? ???????.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","فن. جن. كيف","Fan Jan Kaif","بريدة","fan-jan-kaif","main","https://www.google.com/maps/search/?api=1&query=26.3058033,43.8685174","unknown","unknown","","","","","",""
"canto-cafe-south-buraidah","كانتو كافيه","Canto Cafe","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مرشح فرع/نقطة جنوبية مرتبطة بعلامة كانتو، لكنه أضعف من بقية الفروع من ناحية الدليل المرجعي لذلك بقي branch_conflict.","medium","branch_conflict","","Expansion Round 4 coordinate candidate | Cleaning pass 2: retained as low-confidence branch_conflict under canto-buraidah","cafes","كانتو كافيه","Canto Cafe","بريدة","canto-buraidah","south-pin","https://www.google.com/maps/search/?api=1&query=26.0912822,43.9367032","unknown","unknown","","","","","",""
"mahames-aljarbou","محامص الجربوع","Aljarbou Roastery","بريدة","غير متحقق","مقهى / محمصة","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","???? ????? ??????? ?????? ?? ????? coverage-first.","medium","discovered","","Expansion Round 4 coverage-first intake from coordinate/pin candidate set | Cleaning pass: normalized garbled text where confidently recoverable","cafes","محامص الجربوع","Aljarbou Roastery","بريدة","mahames-aljarbou","main","https://www.google.com/maps/search/?api=1&query=26.3193887,43.9766845","unknown","unknown","","","","","",""
"guest-cafe-buraidah","قست كافيه","Guest Cafe","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","???? ???? ????? ?????? ?? ????????? ?????? ??????.","medium","discovered","","Continuation coverage intake from local candidate CSV | Cleaning pass: normalized garbled text where confidently recoverable","cafes","قست كافيه","Guest Cafe","بريدة","guest-cafe","main","https://www.google.com/maps/search/?api=1&query=26.2915179,43.866817","unknown","unknown","","","","","",""
"half-million-buraidah-2","هاف مليون","Half Million","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","نقطة إضافية محتملة لهاف مليون؛ لم تُدمج مع غيرها لغياب خريطة فروع موثوقة في هذه الجولة.","medium","branch_conflict","","Continuation coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review","cafes","هاف مليون","Half Million","بريدة","half-million","branch-2","https://www.google.com/maps/search/?api=1&query=26.0728372,44.0213555","unknown","unknown","","","","","",""
"dunkin-buraidah-south-1","دانكن","Dunkin","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","نقطة دانكن جنوبية مرشحة في بريدة؛ أبقيناها branch_conflict بدل دمجها أو حذفها لعدم كفاية الحسم الفرعي.","medium","branch_conflict","","Continuation coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review","cafes","دانكن","Dunkin","بريدة","dunkin-buraidah","south-1","https://www.google.com/maps/search/?api=1&query=26.0912499,43.9368849","unknown","unknown","","","","","",""
"dunkin-buraidah-east-1","دانكن دونتس","Dunkin Donuts","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","فرع دانكن/دانكن دونتس شرقي محتمل في بريدة؛ ما زال يحتاج حسمًا أوضح على مستوى الفرع والاسم التجاري.","medium","branch_conflict","","Continuation coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review","cafes","دانكن دونتس","Dunkin Donuts","بريدة","dunkin-buraidah","east-1","https://www.google.com/maps/search/?api=1&query=26.086505,43.9667477","unknown","unknown","","","","","",""
"dunkin-buraidah-northwest-1","دانكن","Dunkin","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","نقطة شمالية غربية محتملة لدانكن، محفوظة مؤقتًا بصفتها branch_conflict بدل إسقاطها دون تحقق فرعي أفضل.","medium","branch_conflict","","Continuation coordinate intake | Cleaning pass 2: retained as branch_conflict after grouped review","cafes","دانكن","Dunkin","بريدة","dunkin-buraidah","northwest-1","https://www.google.com/maps/search/?api=1&query=26.4216612,43.9102845","unknown","unknown","","","","","",""
"dunkin-buraidah-central-1","دانكن","Dunkin","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مكرر مطابق لنقطة الملك سلمان المرجعية.","medium","duplicate","","Cleaning pass 2: exact duplicate of dunkin-king-salman-buraidah","cafes","دانكن","Dunkin","غير متحقق","dunkin-buraidah","central-1","https://www.google.com/maps/search/?api=1&query=26.3929502,43.9248075","unknown","unknown","","","","","dunkin-king-salman-buraidah","Exact same pin/query as dunkin-king-salman-buraidah"
"arabica-star-king-fahd-2","أرابيكا ستار","Arabica Star","بريدة","غير متحقق","كافيه / مقهى","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","سجل مكرر مرجّح لسجل Arabica Star الأساسي على محور الملك فهد.","medium","duplicate","","Cleaning pass 2: likely duplicate of arabica-star retained as duplicate","cafes","أرابيكا ستار","Arabica Star","طريق الملك فهد","arabica-star","king-fahd-2","https://www.google.com/maps/search/?api=1&query=26.3567617,43.9654895","unknown","unknown","","","","","arabica-star","Likely same Arabica Star point on King Fahd corridor"
"half-million-buraidah-3","هاف مليون","Half Million","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مكرر مطابق للنقطة الأولى داخل مجموعة هاف مليون.","medium","duplicate","","Cleaning pass 2: exact duplicate of half-million-buraidah","cafes","هاف مليون","Half Million","بريدة","half-million","branch-3","https://www.google.com/maps/search/?api=1&query=26.421905,43.9097288","unknown","unknown","","","","","half-million-buraidah","Exact same pin/query as half-million-buraidah"
"dunkin-buraidah-south-2","دانكن","Dunkin","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مكرر مطابق للنقطة الجنوبية الأولى داخل مجموعة دانكن.","medium","duplicate","","Cleaning pass 2: exact duplicate of dunkin-buraidah-south-1","cafes","دانكن","Dunkin","بريدة","dunkin-buraidah","south-2","https://www.google.com/maps/search/?api=1&query=26.0912499,43.9368849","unknown","unknown","","","","","dunkin-buraidah-south-1","Exact same pin/query as dunkin-buraidah-south-1"
"dunkin-buraidah-0865","دانكن دونتس","Dunkin Donuts","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مكرر مطابق للنقطة الشرقية المرجعية داخل مجموعة دانكن.","medium","duplicate","","Cleaning pass 2: exact duplicate of dunkin-buraidah-east-1","cafes","دانكن دونتس","Dunkin Donuts","بريدة","dunkin-buraidah","0865","https://www.google.com/maps/search/?api=1&query=26.086505,43.9667477","unknown","unknown","","","","","dunkin-buraidah-east-1","Exact same pin/query as dunkin-buraidah-east-1"
"dunkin-buraidah-3929","دانكن","Dunkin","بريدة","غير متحقق","كافيه","","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مكرر مطابق لنقطة الملك سلمان المرجعية.","medium","duplicate","","Cleaning pass 2: exact duplicate of dunkin-king-salman-buraidah","cafes","دانكن","Dunkin","طريق الملك سلمان","dunkin-buraidah","3929","https://www.google.com/maps/search/?api=1&query=26.3929502,43.9248075","unknown","unknown","","","","","dunkin-king-salman-buraidah","Exact same pin/query as dunkin-king-salman-buraidah"
"ble-cafe-buraidah","بلي","BLE Cafe","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مرشح حقيقي ظهر في نتائج بريدة ويستحق الإدخال coverage-first قبل الإثراء.","medium","discovered","","Expansion Round 3 coverage from Google Search result pointing to Instagram mention for BLE Cafe in Buraidah | Cleaning pass: normalized garbled text where confidently recoverable","cafes","بلي","BLE Cafe","بريدة","ble-cafe","main","https://www.instagram.com/p/Ct6buQ4N3Yl/","unknown","unknown","","","","","",""
"slm-coffee-buraidah","سِلْم | كافية","SLM Coffee","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/slmcoffee/","","","حساب رسمي واضح يشير إلى كافيه في بريدة؛ أُدخل كسجل discovered بحده البنيوي الأدنى.","medium","discovered","","Expansion Round 3 coverage from Google Search result + official Instagram account for Buraydah cafe | Cleaning pass: normalized garbled text where confidently recoverable","cafes","سِلْم | كافية","SLM Coffee","بريدة","slm-coffee","main","https://www.instagram.com/slmcoffee/","unknown","unknown","","","","","",""
"dose-cafe-buraidah-rayyan","دوز كافيه","Dose Cafe","بريدة","الريان","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","ظهر كفرع بريدة/الريان في نتيجة مباشرة؛ أُضيف coverage-first دون انتظار الإثراء.","medium","discovered","","Expansion Round 3 coverage from Google Search result referencing Instagram post for Qassim/Buraidah Rayyan branch | Cleaning pass: normalized garbled text where confidently recoverable","cafes","دوز كافيه","Dose Cafe","حي الريان، شارع البخاري","dose-cafe","rayyan","https://www.instagram.com/p/CIxY72DnyUl/","unknown","unknown","","","","","",""
"estknan-coffee-buraidah","استكنان كافيه","Estknan Coffee","بريدة","البساتين","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/estknan_coffee/","","","مرشح محلي حقيقي بمرجعية موقع مختصرة واضحة من Instagram/Google.","medium","discovered","","Expansion Round 3 coverage from Google Search result + Instagram account snippet with Buraidah/Basatin location | Cleaning pass: normalized garbled text where confidently recoverable","cafes","استكنان كافيه","Estknan Coffee","حي البساتين، طريق عمر بن عبدالعزيز","estknan-coffee","bastatin","https://www.instagram.com/estknan_coffee/","unknown","unknown","","","","","",""
"qadh-coffee-buraidah","قدح كافيه","Qadh Coffee","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/qadh_coffee/","","","مرشح فعلي غير موجود في master؛ أُضيف كسجل discovered بدل تأجيله لنقص التفاصيل.","medium","discovered","","Expansion Round 3 coverage from Google Search result + Instagram account for Qadh Coffee | Cleaning pass: normalized garbled text where confidently recoverable","cafes","قدح كافيه","Qadh Coffee","بريدة","qadh-coffee","main","https://www.instagram.com/qadh_coffee/","unknown","unknown","","","","","",""
"avar-cafe-buraidah","أڤار كافيه","AVAR CAFE","بريدة","النهضة","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/avarcafe/","","","اسم جديد ونظيف ظهر بمرجعية رسمية كافية لإدخاله ضمن coverage دون تعقيد زائد.","medium","discovered","","Expansion Round 3 coverage from Google Search result + official Instagram account referencing Buraydah/Nahdah | Cleaning pass: normalized garbled text where confidently recoverable","cafes","أڤار كافيه","AVAR CAFE","حي النهضة","avar-cafe","nahdah","https://www.instagram.com/avarcafe/","unknown","unknown","","","","","",""
"alia-caffee-buraidah","علياء كافيه","Alia Caffee","بريدة","الأفق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/alia_caffee/","","من 4 عصراً إلى 12 ظهراً تقريبًا","مرشح حقيقي بمرجع رسمي واضح، أُدخل coverage-first دون انتظار طبقة إثراء أعمق.","medium","discovered","","Expansion Round 4 coverage from Google Search result + Instagram account snippet showing Buraidah / Al Ufuq and long operating hours | Cleaning pass: normalized garbled text where confidently recoverable","cafes","علياء كافيه","Alia Caffee","حي الأفق","alia-caffee","ufuq","https://www.instagram.com/alia_caffee/","unknown","unknown","","","","","",""
"bentte-cafe-buraidah","بنتي كافيه","Bentte Cafe","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/benttecafe/","","يوميًا 7:30 ص - 1:00 ص","سجل جديد واضح الهوية والموقع العام؛ مناسب للإدخال السريع كـ discovered.","medium","discovered","","Expansion Round 4 coverage from Google Search result + Instagram account explicitly located in Buraidah, Qassim | Cleaning pass: normalized garbled text where confidently recoverable","cafes","بنتي كافيه","Bentte Cafe","بريدة، القصيم","bentte-cafe","main","https://www.instagram.com/benttecafe/","unknown","unknown","","","","","",""
"khawr-cafe-buraidah","خور كافيه","Khawr Cafe","بريدة","الإسكان","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مرشح محلي حقيقي غير موجود في master وظهر بموقع مختصر كافٍ لإدخاله مباشرة.","medium","discovered","","Expansion Round 4 coverage from recent Instagram post surfaced in Google results mentioning Khawr Cafe in Buraidah / Al Iskan / Abu Bakr road | Cleaning pass: normalized garbled text where confidently recoverable","cafes","خور كافيه","Khawr Cafe","حي الإسكان، طريق أبو بكر الصديق","khawr-cafe","iskan","https://www.instagram.com/p/DUs_k5CjFaG/","unknown","unknown","","","","","",""
"another-side-cafe-buraidah","ANOTHERSIDE CAFE","Another Side Cafe","بريدة","المونسية","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","أُدخل كسجل coverage-first لأنه مرشح فعلي مع اسم وموقع مختصر ومرجع كافٍ، حتى قبل الإثراء.","medium","discovered","","Expansion Round 4 coverage from Instagram reel snippet surfaced in Google results mentioning ANOTHERSIDE CAFE in Al Munisiyah, Buraidah | Cleaning pass: normalized garbled text where confidently recoverable","cafes","ANOTHERSIDE CAFE","Another Side Cafe","حي المونسية","another-side-cafe","munisiyah","https://www.instagram.com/reel/DMDk0dita-U/","unknown","unknown","","","","","",""
"eleven-cafe-buraidah","ELEVEN CAFE","ELEVEN CAFE","بريدة","غير متحقق","كافيه / قهوة مختصة",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","https://www.instagram.com/elevencaf/","","","علامة حقيقية لها حضور في بريدة ومرجع رسمي كافٍ للإدخال coverage-first.","medium","discovered","","Expansion Round 5 coverage from Google Search result + Instagram account listing Buraidah among branches | Cleaning pass: normalized garbled text where confidently recoverable","cafes","ELEVEN CAFE","ELEVEN CAFE","بريدة","eleven-cafe","buraidah","https://www.instagram.com/elevencaf/","unknown","unknown","","","","","",""
"vellucci-cafe-buraidah","فيلوتشي","Vellucci Cafe","بريدة","الريان","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","","","","السجل المرجعي الحالي لفيلوتشي/فيلوتشي كافيه داخل بريدة بعد ربط صيغة Veloce به.","medium","discovered","","Light audit: canonicalized against likely Veloce variant","cafes","فيلوتشي","Vellucci Cafe","شارع البخاري","vellucci-cafe","bukhari","https://www.instagram.com/reel/CyrTt6dtd61/","unknown","unknown","","","","","",""
"luzz-cafe-buraidah","لِز","Luzz Cafe","بريدة","النهضة","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","سجل coverage جديد لاسم ظهر بوضوح مع عنوان مختصر داخل بريدة.","medium","discovered","","Expansion Round 5 coverage from Instagram post surfaced in Google results mentioning Nahdah / Uthman bin Affan in Buraidah | Cleaning pass: normalized garbled text where confidently recoverable","cafes","لِز","Luzz Cafe","حي النهضة، شارع عثمان بن عفان","luzz-cafe","nahdah","https://www.instagram.com/p/DJi9jUdMIJ6/","unknown","unknown","","","","","",""
"view-cafe-buraidah","ڤيو كافيه","View Cafe","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://www.instagram.com/view_coffee/","","","فرع بريدة مرشح حقيقي ضمن علامة متعددة الفروع؛ أُدخل كسجل discovered خفيف.","medium","discovered","","Expansion Round 5 coverage from Google Search result + Instagram account listing Buraidah among branches | Cleaning pass: normalized garbled text where confidently recoverable","cafes","ڤيو كافيه","View Cafe","بريدة","view-cafe","buraidah","https://www.instagram.com/view_coffee/","unknown","unknown","","","","","",""
"artal-cafe-buraidah","قهوة أرتال","Artal Cafe","بريدة","السلطانة","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مرشح واضح داخل حي السلطانة ويستحق الإدخال المبكر بدل تأجيله.","medium","discovered","","Expansion Round 5 coverage from Instagram post surfaced in Google results mentioning Artal cafe in Buraidah / Al Sultanah | Cleaning pass: normalized garbled text where confidently recoverable","cafes","قهوة أرتال","Artal Cafe","حي السلطانة","artal-cafe","sultanah","https://www.instagram.com/p/CE9j7NxpO_e/","unknown","unknown","","","","","",""
"round-cafe-qurtubah-buraidah","راوند كافيه","Round Cafe","بريدة","قرطبة","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","فرع جديد مرشح بمرجع حديث وموقع مختصر واضح؛ مناسب لجولة coverage أكبر.","medium","discovered","","Expansion Round 5 coverage from Instagram reel surfaced in Google results mentioning new Round Cafe branch in Buraidah / Qurtubah | Cleaning pass: normalized garbled text where confidently recoverable","cafes","راوند كافيه","Round Cafe","حي قرطبة","round-cafe","qurtubah","https://www.instagram.com/reel/DP9odjJiCRi/","unknown","unknown","","","","","",""
"copper-cup-buraidah-rayyan","Copper Cup","Copper Cup","بريدة","الريان","مقهى / قهوة مختصة",,,"unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","yes","unknown","","","24 ساعة","أُضيف بعتبة منخفضة لأنه مرشح محلي حقيقي ظهر بملخص واضح، مع ترك التحقق التفصيلي لاحقًا.","low","discovered","","Expansion Round 5 coverage from local cafe roundup result citing Copper Cup as specialty coffee cafe in Buraidah / Al Rayyan; kept light intentionally | Cleaning pass: normalized garbled text where confidently recoverable","cafes","Copper Cup","Copper Cup","حي الريان","copper-cup","rayyan","https://www.instagram.com/bloomandflux/","unknown","unknown","","","","","",""
"tropicano-cafe-buraidah","تروبيكانو كافيه","TROPICANO Cafe","بريدة","غير متحقق","مقهى / قهوة مختصة",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","https://www.instagram.com/tropican.o/","","يوميًا 8:30 ص – 12:00 ص","مرشح حقيقي وواضح المرجع مع موقع مختصر صالح للإدخال coverage-first.","medium","discovered","","Expansion Round 6 coverage from Google Search result + Instagram account explicitly referencing Al Jedai Mall, Buraydah","cafes","تروبيكانو كافيه","TROPICANO Cafe","الجديعي مول، بريدة","tropicano-cafe","al-jedai-mall","https://www.instagram.com/tropican.o/","unknown","unknown","","","","","",""
"find-ann-cafe-buraidah","فايند آن","Find Ann","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","ذُكر ككافيه جديد في بريدة؛ أُضيف بسجل coverage خفيف بدل تأجيله.","medium","discovered","","Expansion Round 6 coverage from Instagram reel surfaced in Google results naming @find.ann as a new cafe in Buraidah","cafes","فايند آن","Find Ann","بريدة","find-ann-cafe","main","https://www.instagram.com/reel/DFNoLtRNItz/","unknown","unknown","","","","","",""
"hiwar-cafe-buraidah","حوار كافيه","Hiwar Cafe","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","","","","مرشح محلي جديد ظهر بوضوح في نتائج بريدة ويستحق الإدخال المبكر.","medium","discovered","","Expansion Round 6 coverage from recent Instagram post surfaced in Google results mentioning Hiwar Cafe in Buraidah","cafes","حوار كافيه","Hiwar Cafe","بريدة","hiwar-cafe","main","https://www.instagram.com/p/DUnW3iQjDCv/","unknown","unknown","","","","","",""
"luster-cafe-buraidah","لوستير كافيه","Luster Cafe","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","","","4:00 م - 12:00 ص","ظهر بعنوان مختصر مفيد داخل بريدة؛ مناسب جدًا لجولة رفع التغطية العددية.","medium","discovered","","Expansion Round 6 coverage from Instagram post surfaced in Google results mentioning Luster Cafe on Mohammed bin Sirin road in Buraidah","cafes","لوستير كافيه","Luster Cafe","طريق محمد بن سيرين، بريدة","luster-cafe","mohammed-bin-sirin","https://www.instagram.com/p/Cn42KhmLI_N/","unknown","unknown","","","","","",""
"brio-cafe-buraidah","بريو كافيه","Brio Cafe","بريدة","غير متحقق","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","إدخال coverage خفيف لمرشح حقيقي ظهر في سياق كوفيهات بريدة، مع إبقاء الثقة منخفضة مؤقتًا.","low","discovered","","Expansion Round 6 coverage from Instagram result mentioning Brio Cafe in Buraidah context; kept light intentionally","cafes","بريو كافيه","Brio Cafe","بريدة","brio-cafe","main","https://www.instagram.com/p/DLlKFMxoweZ/","unknown","unknown","","","","","",""
"labioma-cafe-buraidah","لابيوما كافيه","Labioma Cafe","بريدة","البساتين","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","مرشح حيّ البساتين ظهر مباشرة في نتائج البحث الشبكية، لذلك دخل coverage-first فورًا.","medium","discovered","","Expansion Round 7 district sweep from Instagram reel surfaced in Google results for Al Basatin / East Buraidah","cafes","لابيوما كافيه","Labioma Cafe","حي البساتين شرق بريدة","labioma-cafe","bastatin-east","https://www.instagram.com/reel/DTdiOPoDAk2/","unknown","unknown","","","","","",""
"thekra-cafe-buraidah","ذكرى كافيه","Thekra Cafe","بريدة","البساتين","كافيه",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","دخل كسجل discovered لأن موقعه المختصر واضح داخل البستان حتى لو المرجع ما زال خفيفًا.","medium","discovered","","Expansion Round 7 district sweep from Google result snippet referencing @thekra_cafe in Mazar Al Bustan, Buraidah; stored as light coverage record","cafes","ذكرى كافيه","Thekra Cafe","مزار البستان، بريدة","thekra-cafe","mazar-al-bustan","https://www.instagram.com/reel/DU5G?placeholder","unknown","unknown","","","","","",""
"liberta-cafe-buraidah","ليبيرتا","Liberta","بريدة","البساتين","مقهى / قهوة مختصة",,,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","https://www.instagram.com/liberta_ksa/","","","فرع واضح في البساتين مع إشارة مباشرة للقهوة المختصة، وهذا كافٍ لإدخاله ضمن التغطية.","medium","discovered","","Expansion Round 7 district sweep from Google result + Instagram account snippet explicitly mentioning Buraidah Al Basatin branch","cafes","ليبيرتا","Liberta","فرع البساتين، بريدة","liberta-cafe","bastatin","https://www.instagram.com/liberta_ksa/","unknown","unknown","","","","","",""
